CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2020-9368||模块Olea Gift On Order模块通过5.0.8 for PrestaShop使未经认证的用户可以通过getfile.php?file=/...目录穿越读取服务器上的任意文件。
CVE-2020-9369||Sympa 6.2.38至6.2.52允许远程攻击者通过一系列具有畸形参数的请求导致拒绝服务（临时文件的磁盘消耗，以及向列表管理员发出大量通知）。
CVE-2020-9370||HUMAX HGA12R-02 BRGCAA 1.1.53设备允许会话劫持。
CVE-2020-9371||Stored XSS存在于WordPress的1.3.35之前的预约日历插件。在cpabc_appointments.php文件中，日历名称的输入可能允许攻击者注入任意JavaScript或HTML。
CVE-2020-9372||WordPress 1.3.35之前的预约日历插件允许用户在任何预约表格中的输入（如描述或名称等字段）为任何公式，然后可以通过/wp-admin/admin.php?page=cpabc_appointments.php中的预约列表标签输出。攻击者可以通过CSV注入实现远程代码执行。
CVE-2020-9374||在TP-Link TL-WR849N 0.9.1 4.16设备上，当攻击者向面板的traceroute功能发送特定的shell元字符时，可以利用诊断区域的远程命令执行漏洞。
CVE-2020-9375||TP-Link Archer C50 V3 devices before Build 200318 Rel. 62209允许远程攻击者通过包含意外Referer字段的精心制作的HTTP Header造成拒绝服务。
CVE-2020-9376||**分配时不支持 ** D-Link DIR-610设备允许通过Service=DEVICE.ACCOUNT%0AAUTHORIZED_GROUP=1到getcfg.php进行信息披露。注意：该漏洞只影响到维护者不再支持的产品。
CVE-2020-9377||**分配时不支持 ** D-Link DIR-610设备允许通过command.php的cmd参数进行远程命令执行。注意：该漏洞只影响到维护者不再支持的产品。
CVE-2020-9379||KB496276之前的MiContact Center Business with Site Based Security 8.0至9.0.1.0的软件开发工具包允许认证的用户访问敏感信息。成功利用该漏洞可允许未经授权访问用户对话。
CVE-2020-9380||IPTV Smarters WEB TV PLAYER到2020-02-22允许攻击者通过上传脚本执行操作系统命令。
CVE-2020-9381||controllers/admin.js在Total.js CMS 13允许远程攻击者通过POST到/admin/api/widgets/ URI执行任意代码。这可与CVE-2019-15954一起被利用。
CVE-2020-9382||在MediaWiki的Widgets扩展到1.4.0时发现一个问题。不当的标题消毒允许通过MediaWiki的{{#widget:}}解析器函数将任何wiki页面作为部件（如该扩展所定义）执行。
CVE-2020-9383||在Linux内核3.16至5.5.6中发现一个问题。drivers/block/floppy.c中的set_fdc导致wait_til_ready越界读取，因为在分配FDC索引之前没有检查错误，又称CID-2e90ca68b0d2。
