CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-22401||华为智能手机存在远程DoS漏洞，成功利用该漏洞可影响服务完整性。
CVE-2021-22402||华为智能手机中存在DoS漏洞。成功利用该漏洞可能会导致DoS攻击。
CVE-2021-22403||华为智能手机存在劫持未经验证的供应商的漏洞。成功利用此漏洞，攻击者可能会劫持设备并伪造UI，诱使用户执行恶意命令。
CVE-2021-22404||华为智能手机存在目录穿越漏洞。成功利用该漏洞可能会影响服务的保密性。
CVE-2021-22405||华为智能手机中存在配置缺陷。成功利用此漏洞可能会影响服务的可用性。
CVE-2021-22406||华为智能手机中存在一个未捕获的异常漏洞。成功利用该漏洞将导致应用程序意外退出。
CVE-2021-22407||华为智能手机中存在配置缺陷。成功利用此漏洞可能会影响服务的保密性。
CVE-2021-22409||某些版本的ManageOne存在拒绝服务的漏洞。在实现一个模块的功能时存在逻辑错误。当服务压力很大时，可能会出现低概率的异常。成功利用该漏洞可能导致某些服务异常。
CVE-2021-2241 漏洞在Oracle电子商务套件的Oracle iStore产品（组件：购物车）。受影响的支持版本为12.1.1-12.1.3。容易被利用的漏洞允许有网络访问权的低权限攻击者通过HTTP来破坏Oracle iStore。成功攻击该漏洞可导致对关键数据或所有Oracle iStore可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有Oracle iStore可访问数据的完全访问。CVSS 3.1基础得分8.1（保密性和完整性影响）。CVSS矢量：（CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N）。
CVE-2021-22410||在iMaster NCE-Fabric V100R019C10存在一个XSS注入漏洞。客户端的一个模块没有充分地验证输入。攻击者可以通过在登录到客户端后修改输入来利用这个漏洞。这可能会破坏客户端的正常服务。
