CVE-2022-21932||Microsoft Dynamics 365 Customer Engagement跨站脚本漏洞。
CVE-2022-21933||华硕VivoMini/Mini PC设备存在输入验证不当的漏洞。具有系统权限的本地攻击者可以使用系统管理中断（SMI）修改内存，导致任意代码执行，以控制系统或破坏服务。
CVE-2022-21934||在某些情况下，在Metasys ADS/ADX/OAS服务器10.1.5之前的版本和Metasys ADS/ADX/OAS服务器11.0.2之前的版本中，认证用户可以锁定其他用户的系统或接管其账户。
CVE-2022-21935||10.1.5之前的Metasys ADS/ADX/OAS 10版本和11.0.2之前的Metasys ADS/ADX/OAS 11版本存在漏洞，允许未验证的密码更改。
CVE-2022-21936||在运行MVE的Metasys ADX Server 12.0版本上，当使用MVE SMP UI时，活动目录用户可以在不提供有效密码的情况下执行验证的操作。
CVE-2022-21937||在某些情况下，10.1.5之前的Metasys ADS/ADX/OAS 10版本和11.0.2之前的Metasys ADS/ADX/OAS 11版本中的一个漏洞可能允许用户将恶意代码注入Web界面中。
CVE-2022-21938||在某些情况下，10.1.5之前的Metasys ADS/ADX/OAS 10版本和11.0.2之前的Metasys ADS/ADX/OAS 11版本中的漏洞可能允许用户向MUI图形网络界面注入恶意代码。
CVE-2022-2194||2.0.64之前的Accept Stripe Payments WordPress插件没有对其部分设置进行消毒和转义，即使unfiltered_html功能被禁止，也允许管理员等高权限用户执行跨网站脚本攻击。
CVE-2022-21941||版本6.8.9.CU01之前的所有iSTAR Ultra版本存在命令注入漏洞，可允许未经认证的用户对系统进行root访问。
CVE-2022-21944|| openSUSE Backports SLE-15-SP3的watchman的systemd服务文件中存在一个UNIX符号链接（Symlink）跟随漏洞，工厂允许本地攻击者升级为root。此问题影响：openSUSE Backports SLE-15-SP3 watchman 4.9.0 之前的版本。openSUSE Factory watchman 4.9.0-9.1 之前的版本。
CVE-2022-21945|| openSUSE Factory 的 cscreen 中存在不安全的临时文件漏洞，允许本地攻击者对 cscreen 造成 DoS，对非默认系统造成系统 DoS。此问题影响：openSUSE Factory cscreen 1.2-1.3 版和之前的版本。
