CVE-2020-17043||Windows远程访问权限提升漏洞该CVE ID在CVE-2020-17025、CVE-2020-17026、CVE-2020-17027、CVE-2020-17028、CVE-2020-17031、CVE-2020-17032、CVE-2020-17033、CVE-2020-17034、CVE-2020-17055中唯一。
CVE-2020-17044||Windows远程访问权限提升漏洞 此CVE ID与CVE-2020-17025、CVE-2020-17026、CVE-2020-17027、CVE-2020-17028、CVE-2020-17031、CVE-2020-17032、CVE-2020-17033、CVE-2020-17034、CVE-2020-17043、CVE-2020-17055是唯一的。
CVE-2020-17045||Windows KernelStream信息泄露漏洞
CVE-2020-17046||Windows错误报告拒绝服务漏洞
CVE-2020-17047||Windows网络文件系统拒绝服务漏洞
CVE-2020-17048||Chakra Scripting Engine Memory Corruption Vulnerability 此CVE ID与CVE-2020-17054是唯一的。
CVE-2020-17049||Kerberos安全功能绕过漏洞
CVE-2020-1705||在4.3.0之前的所有4.x.x版本中，openshift/template-service-broker-operator中发现了/etc/passwd文件的不安全修改漏洞。拥有容器访问权的攻击者可利用此漏洞修改/etc/passwd并提升其权限。
CVE-2020-17051||Windows网络文件系统远程代码执行漏洞
CVE-2020-17052||Scripting Engine内存破坏漏洞
CVE-2020-17053|Internet Explorer内存破坏漏洞
CVE-2020-17054||Chakra Scripting Engine Memory Corruption Vulnerability 此CVE ID与CVE-2020-17048是唯一的。
CVE-2020-17055||Windows远程访问权限提升漏洞 此CVE ID在CVE-2020-17025、CVE-2020-17026、CVE-2020-17027、CVE-2020-17028、CVE-2020-17031、CVE-2020-17032、CVE-2020-17033、CVE-2020-17034、CVE-2020-17044中是唯一的。
CVE-2020-17056||Windows网络文件系统信息泄露漏洞
CVE-2020-17057||Windows Win32k权限提升漏洞
CVE-2020-17058||微软浏览器内存破坏漏洞
CVE-2020-1706||发现在openshift-enterprise 3.11版和openshift-enterprise 4.1至4.3版中，多个容器修改/etc/passwd的权限，使其可被root以外的用户修改。能够访问正在运行的容器的攻击者可以利用这一点，修改/etc/passwd以增加一个用户并提升其权限。这个CVE专门针对openshift/apb-tools-container。
CVE-2020-17060||微软SharePoint欺骗漏洞 此CVE ID与CVE-2020-17015, CVE-2020-17016是唯一的。
CVE-2020-17061||Microsoft SharePoint 远程代码执行漏洞
CVE-2020-17062||Microsoft Office Access Connectivity Engine远程代码执行漏洞
CVE-2020-17063||Microsoft Office Online 欺骗漏洞
CVE-2020-17064||Microsoft Excel远程代码执行漏洞 此CVE ID与CVE-2020-17019、CVE-2020-17065、CVE-2020-17066是唯一的。
CVE-2020-17065||Microsoft Excel远程代码执行漏洞 此CVE ID在CVE-2020-17019、CVE-2020-17064、CVE-2020-17066中是唯一的。
CVE-2020-17066||Microsoft Excel远程代码执行漏洞 此CVE ID在CVE-2020-17019、CVE-2020-17064、CVE-2020-17065中是唯一的。
CVE-2020-17067||Microsoft Excel安全功能绕过漏洞
CVE-2020-17068||Windows GDI+远程代码执行漏洞
CVE-2020-17069|Windows NDIS信息泄露漏洞
CVE-2020-1707||在4.3.0之前的所有openshift/postgresql-apb 4.x.x版本中发现了一个漏洞，在容器openshift/postgresql-apb中发现了/etc/passwd文件的不安全修改漏洞。拥有容器访问权的攻击者可以利用这个漏洞修改/etc/passwd并提升他们的权限。
CVE-2020-17070||Windows更新医疗服务特权提升漏洞
CVE-2020-17071||Windows交付优化信息披露漏洞
CVE-2020-17073||Windows Update Orchestrator服务权限提升漏洞 此CVE ID与CVE-2020-17074、CVE-2020-17076唯一。
CVE-2020-17074||Windows Update Orchestrator Service Elevation of Privilege Vulnerability 此CVE ID与CVE-2020-17073、CVE-2020-17076唯一。
CVE-2020-17075||Windows USO Core Worker权限提升漏洞
CVE-2020-17076||Windows Update Orchestrator Service权限提升漏洞 此CVE ID与CVE-2020-17073、CVE-2020-17074唯一。
CVE-2020-17077||Windows Update堆栈权限提升漏洞
CVE-2020-17078||Raw Image Extension远程代码执行漏洞 此CVE ID与CVE-2020-17079, CVE-2020-17082, CVE-2020-17086唯一。
CVE-2020-17079||Raw Image Extension Remote Code Execution Vulnerability 此CVE ID在CVE-2020-17078, CVE-2020-17082, CVE-2020-17086中是唯一的。
CVE-2020-1708||在openshift-enterprise 3.11版本和所有openshift-enterprise 4.1至（包括4.3）版本中发现，多个容器修改/etc/passwd的权限，使其可被root以外的用户修改。能够访问正在运行的容器的攻击者可以利用这一点，修改/etc/passwd以增加一个用户并提升其权限。这个CVE是特定于openshift/mysql-apb的。
