CVE-2020-17043||Windows Remote Access Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17025, CVE-2020-17026, CVE-2020-17027, CVE-2020-17028, CVE-2020-17031, CVE-2020-17032, CVE-2020-17033, CVE-2020-17034, CVE-2020-17044, CVE-2020-17055.
CVE-2020-17044||Windows Remote Access Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17025, CVE-2020-17026, CVE-2020-17027, CVE-2020-17028, CVE-2020-17031, CVE-2020-17032, CVE-2020-17033, CVE-2020-17034, CVE-2020-17043, CVE-2020-17055.
CVE-2020-17045||Windows KernelStream Information Disclosure Vulnerability
CVE-2020-17046||Windows Error Reporting Denial of Service Vulnerability
CVE-2020-17047||Windows Network File System Denial of Service Vulnerability
CVE-2020-17048||Chakra Scripting Engine Memory Corruption Vulnerability This CVE ID is unique from CVE-2020-17054.
CVE-2020-17049||Kerberos Security Feature Bypass Vulnerability
CVE-2020-1705||A vulnerability was found in openshift/template-service-broker-operator in all 4.x.x versions prior to 4.3.0, where an insecure modification vulnerability in the /etc/passwd file was found in the openshift/template-service-broker-operator. An attacker with access to the container could use this flaw to modify /etc/passwd and escalate their privileges.
CVE-2020-17051||Windows Network File System Remote Code Execution Vulnerability
CVE-2020-17052||Scripting Engine Memory Corruption Vulnerability
CVE-2020-17053||Internet Explorer Memory Corruption Vulnerability
CVE-2020-17054||Chakra Scripting Engine Memory Corruption Vulnerability This CVE ID is unique from CVE-2020-17048.
CVE-2020-17055||Windows Remote Access Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17025, CVE-2020-17026, CVE-2020-17027, CVE-2020-17028, CVE-2020-17031, CVE-2020-17032, CVE-2020-17033, CVE-2020-17034, CVE-2020-17043, CVE-2020-17044.
CVE-2020-17056||Windows Network File System Information Disclosure Vulnerability
CVE-2020-17057||Windows Win32k Elevation of Privilege Vulnerability
CVE-2020-17058||Microsoft Browser Memory Corruption Vulnerability
CVE-2020-1706||It has been found that in openshift-enterprise version 3.11 and openshift-enterprise versions 4.1 up to, including 4.3, multiple containers modify the permissions of /etc/passwd to make them modifiable by users other than root. An attacker with access to the running container can exploit this to modify /etc/passwd to add a user and escalate their privileges. This CVE is specific to the openshift/apb-tools-container.
CVE-2020-17060||Microsoft SharePoint Spoofing Vulnerability This CVE ID is unique from CVE-2020-17015, CVE-2020-17016.
CVE-2020-17061||Microsoft SharePoint Remote Code Execution Vulnerability
CVE-2020-17062||Microsoft Office Access Connectivity Engine Remote Code Execution Vulnerability
CVE-2020-17063||Microsoft Office Online Spoofing Vulnerability
CVE-2020-17064||Microsoft Excel Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17019, CVE-2020-17065, CVE-2020-17066.
CVE-2020-17065||Microsoft Excel Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17019, CVE-2020-17064, CVE-2020-17066.
CVE-2020-17066||Microsoft Excel Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17019, CVE-2020-17064, CVE-2020-17065.
CVE-2020-17067||Microsoft Excel Security Feature Bypass Vulnerability
CVE-2020-17068||Windows GDI+ Remote Code Execution Vulnerability
CVE-2020-17069||Windows NDIS Information Disclosure Vulnerability
CVE-2020-1707||A vulnerability was found in all openshift/postgresql-apb 4.x.x versions prior to 4.3.0, where an insecure modification vulnerability in the /etc/passwd file was found in the container openshift/postgresql-apb. An attacker with access to the container could use this flaw to modify /etc/passwd and escalate their privileges.
CVE-2020-17070||Windows Update Medic Service Elevation of Privilege Vulnerability
CVE-2020-17071||Windows Delivery Optimization Information Disclosure Vulnerability
CVE-2020-17073||Windows Update Orchestrator Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17074, CVE-2020-17076.
CVE-2020-17074||Windows Update Orchestrator Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17073, CVE-2020-17076.
CVE-2020-17075||Windows USO Core Worker Elevation of Privilege Vulnerability
CVE-2020-17076||Windows Update Orchestrator Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2020-17073, CVE-2020-17074.
CVE-2020-17077||Windows Update Stack Elevation of Privilege Vulnerability
CVE-2020-17078||Raw Image Extension Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17079, CVE-2020-17082, CVE-2020-17086.
CVE-2020-17079||Raw Image Extension Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17078, CVE-2020-17082, CVE-2020-17086.
CVE-2020-1708||It has been found in openshift-enterprise version 3.11 and all openshift-enterprise versions from 4.1 to, including 4.3, that multiple containers modify the permissions of /etc/passwd to make them modifiable by users other than root. An attacker with access to the running container can exploit this to modify /etc/passwd to add a user and escalate their privileges. This CVE is specific to the openshift/mysql-apb.
CVE-2020-17081||Microsoft Raw Image Extension Information Disclosure Vulnerability
CVE-2020-17082||Raw Image Extension Remote Code Execution Vulnerability This CVE ID is unique from CVE-2020-17078, CVE-2020-17079, CVE-2020-17086.
