CVE-2018-21098||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21099||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-2110|||***拒绝 **不要使用此候选号码。  咨询ID：无。  原因是。这个候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21100||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21101||NETGEAR R7800设备在1.0.2.60之前受到认证用户的命令注入影响。
CVE-2018-21102||NETGEAR ReadyNAS设备在6.9.3之前受CSRF影响。
CVE-2018-21103||NETGEAR R7800设备在1.0.2.60之前受到认证用户的命令注入的影响。
CVE-2018-21104||NETGEAR R7800设备在1.0.2.60之前受到认证用户的命令注入的影响。
CVE-2018-21105||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21106||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21107||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21108||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21109||NETGEAR R7800设备在1.0.2.60之前受到认证用户的命令注入影响。
CVE-2018-2111|||***拒绝 **不要使用此候选号码。  咨询ID：无。  原因是。这个候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21110||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-21111||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.0.75之前的D3600，1.0.0.75之前的D6000，1.0.0.60之前的D6100，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000。4.2、1.0.2.102之前的WNDR3700v4、1.0.2.104之前的WNDR4300、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3，以及1.0.0.66之前的WNR2000v5。
CVE-2018-21112||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.44之前的D7800，1.0.3.38之前的R7500v2，1.0.2.52之前的R7800，1.0.4.12之前的R8900，以及1.0.4.12之前的R9000。
CVE-2018-21113||某些NETGEAR设备受到未经认证的攻击者的命令注入影响。这影响到1.0.0.58之前的D6100，1.0.1.42之前的D7800，1.0.1.28之前的R6100，1.0.0.130之前的R7500，1.0.3.36之前的R7500v2，1.0.2之前的R7800。52、1.0.4.12之前的R8900、1.0.4.12之前的R9000、1.0.2.102之前的WNDR3700v4、1.0.2.104之前的WNDR4300、1.0.0.56之前的WNDR4300v2以及1.0.0.56之前的WNDR4500v3。
CVE-2018-21114||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.44之前的D7800，1.0.1.70之前的EX6150v2，1.0.1.70之前的EX6100v2，1.0.1.64之前的EX6200v2，1.0.2.136之前的EX7300，1.0.2.136之前的EX6400，1.0.1之前的R6100。16、1.0.0.110之前的R7500、1.0.2.32之前的R7800、1.0.4.12之前的R9000、1.0.0.56之前的WN3000RPv2、1.0.2.52之前的WN3000RPv3、1.0.0.50之前的WNDR4300v2、1.0.0.50之后的WNDR4500v3。
CVE-2018-21115||NETGEAR XR500设备在2.3.2.32之前受到未经认证的攻击者远程代码执行的影响。
CVE-2018-21116||NETGEAR XR500设备在2.3.2.32之前受到未经认证的攻击者远程代码执行的影响。
CVE-2018-21117||NETGEAR XR500设备在2.3.2.32之前受到未经认证的攻击者通过traceroute处理器执行远程代码的影响。
CVE-2018-21118||NETGEAR XR500设备在2.3.2.32之前受到认证绕过的影响。
CVE-2018-21119||某些NETGEAR设备受到认证用户的命令注入的影响。这影响到5.0.5.4之前的WAC505和5.0.5.4之前的WAC510。
cve-2018-2112|||**拒绝 **不要使用此候选号码。  咨询IDs：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21120||某些NETGEAR设备受CSRF影响。这影响到2.1.7之前的WAC120，5.0.5.4之前的WAC505，5.0.5.4之前的WAC510，3.7.11.4之前的WNAP320，3.7.11之前的WNAP210v2。4、3.7.11.4之前的WNDAP350、3.7.11.4之前的WNDAP360、3.7.11.4之前的WNDAP660、2.1.7之前的WNDAP620、2.1.5之前的WND930，以及3.3.10之前的WN604。
CVE-2018-21121||某些NETGEAR设备受到认证绕过的影响。这影响到1.0.0.5之前的GS810EMX，1.0.0.6之前的XS512EM，以及1.0.0.6之前的XS724EM。
CVE-2018-21122||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.0.9之前的GS110EMX，1.0.0.5之前的GS810EMX，1.0.0.6之前的XS512EM，以及1.0.0.6之前的XS724EM。
CVE-2018-21123||某些NETGEAR设备受到未经认证的攻击者的命令注入影响。这影响到6.5.3.9之前的WC7500，6.5.3.9之前的WC7520，6.5.3.9之前的WC7600v1，以及6.5.3.9之前的WC7600v2。
CVE-2018-21124||NETGEAR WAC510设备在5.0.0.17之前受权限升级影响。
CVE-2018-21125||NETGEAR WAC510设备在5.0.0.17之前受认证绕过影响。
CVE-2018-21126||某些NETGEAR设备受到未经认证的攻击者的命令注入影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21127||某些NETGEAR设备受到未认证的攻击者的命令注入影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21128||某些NETGEAR设备受到认证绕过的影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21129||某些NETGEAR设备受到敏感信息泄露的影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
cve-2018-2113|||**拒绝 **不要使用此候选号码。  咨询ID：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21130||某些NETGEAR设备受到未经认证的攻击者的命令注入影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21131||某些NETGEAR设备受到未经认证的固件降级的影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21132||某些NETGEAR设备受到认证绕过的影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21133||某些NETGEAR设备受到未经认证的攻击者的基于堆栈的缓冲区溢出的影响。这影响到5.0.0.17之前的WAC505和5.0.0.17之前的WAC510。
CVE-2018-21134||某些NETGEAR设备受到未认证的攻击者基于堆栈的缓冲区溢出的影响。这影响了1.0.1.48之前的R6700，1.0.2.16之前的R7900，1.0.1.48之前的R6900，1.3.1.44之前的R7000P，1.3.1.44之前的R6900P，1.0.4.30之前的R6250，1.0.4.32之前的R6300v2，1.0.1.44之前，R6400v2在1.0.2.60之前，R7000在1.0.9.34之前，R7100LG在1.0.0.48之前，R7300在1.0.0.68之前，R8000在1.0.4.18之前，R8000P在1.4.1.24之前，R7900P在1.4.1.24之前，R8500在1。0.2.122之前的R8300，1.0.2.122之前的WN2500RPv2，1.0.1.54之前的EX3700，1.0.0.72之前的EX3800，1.0.0.32之前的EX6000，1.0.2.24之前的EX6100，1.0.0.42之前的EX6120，1.0.0.24之前的EX6150v1，1.0.0.42之前的EX6200，1.0.3.88之前的EX7000，1.0.0.66之前的D7000v2，1.0.0.51之前的D6220，1.0.0.46之前的D6400，以及1.0.3.42之后的D8500。
CVE-2018-21135||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.1.48之前的R6700，1.0.0.124之前的R7500，1.0.2.58之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，1.0.2.102之前的WNDR3700v4。0.2.102之前的WNDR4300v1，1.0.2.104之前的WNDR4300v2，1.0.0.56之前的WNDR4500v3，和1.0.0.68之前的WNR2000v5-R2000。
CVE-2018-21136||某些NETGEAR设备受到敏感信息泄露的影响。这影响到1.0.0.76之前的D3600和1.0.0.76之前的D6000。
CVE-2018-21137||某些NETGEAR设备受到硬编码密码的影响。这影响到1.0.0.76之前的D3600和1.0.0.76之前的D6000。
CVE-2018-21138||某些NETGEAR设备受到安全设置不正确配置的影响。这影响到1.0.0.76之前的D3600和1.0.0.76之前的D6000。
CVE-2018-21139||某些NETGEAR设备受到敏感信息泄露的影响。这影响了1.0.0.27之前的D1500，1.0.0.27之前的D500，1.0.0.58之前的D6100，1.1.00.30之前的D6200，1.0.0.46之前的D6220，1.0.0.82之前的D6400，1.0.1之前的D7000。68, 1.0.0.51之前的D7000v2, 1.0.1.42之前的D7800, 1.0.3.42之前的D8500, 1.0.0.40之前的DC112A, 1.0.0.102之前的DGN2200Bv4, 1.0.0.102之前的DGN2200v4, 1.1.0.02之前的JNR1010v2。54, JR6150 before 1.0.1.18, JWNR2010v5 before 1.1.0.54, PR2000 before 1.0.0.24, R6020 before 1.0.0.34, R6050 before 1.0.1.18, R6080 before 1.0.0.34, R6100 before 1.0.1.22, R6120 before 1.0.0.42之前, R6220在1.1.0.68之前, R6250在1.0.4.30之前, R6300v2在1.0.4.32之前, R6400在1.0.1.44之前, R6400v2在1.0.2.60之前, R6700在1.0.1.48之前, R6700v2在1.2.0。24, 1.2.0.24之前的R6800, 1.0.1.48之前的R6900, 1.3.1.44之前的R6900P, 1.2.0.24之前的R6900v2, 1.0.9.34之前的R7000, 1.3.1.44之前的R7000P, 1.0.0.48之前的R7100LG, 1.0.0.68，1.0.0.124之前的R7500，1.0.3.38之前的R7500v2，1.0.2.16之前的R7900，1.4.1.24之前的R7900P，1.0.4.18之前的R8000，1.4.1.24之前的R8000P，1.0.2之前的R8300。122，1.0.2.122之前的R8500，1.0.0.68之前的WN3000RP，1.0.0.68之前的WN3000RPv2，1.0.1.18之前的WNDR3400v3，1.0.2.102之前的WNDR3700v4，1.1.0.54之前的WNDR3700v5，1.0.2.104之前的WNDR4300v2，1.0.0.56之前的WNDR4500v3，1.1.0.54之前的WNR1000v4，1.1.0.54之前的WNR2020，1.1.0.54之前的WNR2050，以及1.2.0.54之前的WNR3500Lv2。
cve-2018-2114||**拒绝 **不要使用这个候选号码。  咨询IDs：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21140||某些NETGEAR设备受到安全设置的不正确配置的影响。这影响到1.0.0.76之前的D3600和1.0.0.76之前的D6000。
CVE-2018-21141||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3.10之前的R8900，1.0.3之前的R9000。10、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3和1.0.0.64之前的WNR2000v5。
CVE-2018-21142||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3.10之前的R8900，1.0.3.10之前的R9000。10、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3以及1.0.0.64之前的WNR2000v5。
CVE-2018-21143||NETGEAR GS810EMX设备在1.0.0.5之前受到敏感信息泄露的影响。
CVE-2018-21144||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.52之前的DM200、1.0.0.122之前的R7500、1.0.2.42之前的R7800、1.0.3.10之前的R8900、1.0.3之前的R9000。16、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3和1.0.0.64之前的WNR2000v5。
CVE-2018-21145||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3之前的R8900。10、1.0.3.10之前的R9000、1.0.2.96之前的WNDR3700v4、1.0.2.98之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3，以及1.0.0.64之前的WNR2000v5。
CVE-2018-21146||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.1.34之前的D7800、1.0.2.42之前的R7800、1.0.3.10之前的R8900、1.0.3.10之前的R9000、1.0.0.54之前的WNDR4300v2和1.0.0.54之前的WNDR4500v3。
CVE-2018-21147||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.1.34之前的D7800、1.0.3.26之前的R7500v2、1.0.2.42之前的R7800、1.0.3.10之前的R8900、1.0.3.10之前的R9000、1.0.0.54之前的WNDR4300v2，以及1.0.0.54之前的WNDR4500v3。
CVE-2018-21148||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响了1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.3.26之前的R7500v2，1.0.2.42之前的R7800，1.0.3.10之前，R9000在1.0.3.10之前，WNDR3700v4在1.0.2.96之前，WNDR4300在1.0.2.98之前，WNDR4300v2在1.0.0.54之前，WNDR4500v3在1.0.0.54之前，以及WNR2000v5在1.0.0.64之前。
CVE-2018-21149||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.2.42之前的R7800，1.0.3之前的R8900。10、1.0.3.10之前的R9000、1.0.2.96之前的WNDR3700v4、1.0.0.54之前的WNDR4300、1.0.0.54之前的WNDR4300v2、1.0.0.54之前的WNDR4500v3，以及1.0.0.64之前的WNR2000v5。
cve-2018-2115||***拒绝 **不要使用这个候选号码。  咨询IDs：无。  原因是。该候选人在CNA池中，在2018年期间没有分配到任何问题。  备注：无。
CVE-2018-21150||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响到1.0.1.34之前的D7800，1.0.0.50之前的DM200，1.0.1.22之前的R6100，1.0.0.122之前的R7500，1.0.3.26之前的R7500v2，1.0.2.42之前的R7800，1.0.3.10之前的R8900。0.3.10之前，R9000在1.0.3.10之前，WNDR3700v4在1.0.2.96之前，WNDR4300在1.0.2.98之前，WNDR4300v2在1.0.0.54之前，WNDR4500v3在1.0.0.54之前，以及WNR2000v5在1.0.0.64之前。
CVE-2018-21151||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响到1.0.1.34之前的D7800、1.0.3.26之前的R7500v2、1.0.2.42之前的R7800、1.0.3.10之前的R8900、1.0.3.10之前的R9000、1.0.0.54之前的WNDR4300v2，以及1.0.0.54之前的WNDR4500v3。
