CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-19221||在Libarchive 3.4.0中，archive_string.c中的archive_wstring_append_from_mbs由于不正确的mbrtowc或mbtowc调用，存在越界读取。例如，bsdtar会通过伪造的档案崩溃。
CVE-2019-19222||D-Link DSL-2680网页管理界面（固件EU_1.03）中的存储XSS问题，允许认证的攻击者通过发送精心制作的Forms/wireless_autonetwork_1 POST请求，将任意JavaScript代码注入info.html管理页面中。
CVE-2019-19223||D-Link DSL-2680网页管理界面（固件EU_1.03）中存在的访问控制漏洞，允许攻击者通过提交reboot.html GET请求，在管理界面上未经身份验证的情况下重启路由器。
CVE-2019-19224||D-Link DSL-2680网页管理界面（固件EU_1.03）存在的访问控制漏洞，允许攻击者通过提交rom-0的GET请求，在没有经过管理界面认证的情况下下载配置（二进制文件）设置。
CVE-2019-19225|||D-Link DSL-2680网页管理界面（固件EU_1.03）的访问控制漏洞被破坏，攻击者可以通过提交精心制作的Forms/dns_1 POST请求，在管理界面上未经认证就改变DNS服务器。
CVE-2019-19226||D-Link DSL-2680网页管理界面（固件EU_1.03）的访问控制漏洞，允许攻击者通过提交精心制作的Forms/WlanMacFilter_1 POST请求，在管理界面上未经认证的情况下启用或禁用MAC地址过滤。
CVE-2019-19227|||在5.1之前的Linux内核中的AppleTalk子系统中，由于register_snap_client可能返回NULL，因此存在潜在的NULL指针解除引用。这将导致net/appletalk/aarp.c和net/appletalk/ddp.c中的拒绝服务，如unregister_snap_client所示，又名CID-9804501fa122。
CVE-2019-19228||Fronius Solar Inverter设备在3.14.1(HM 1.12.1)之前允许攻击者绕过认证，因为今天账户的密码被存储在/tmp/web_users.conf文件中。
CVE-2019-19229||admincgi-bin/service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action=download&filename= Directory Traversal.
CVE-2019-1923||思科小企业SPA500系列IP电话中的一个漏洞可能允许物理上接近的攻击者在设备上执行任意命令。该漏洞是由于设备配置界面的输入验证不当造成的。攻击者可以通过访问配置界面（可能需要密码），然后访问设备的物理接口并插入USB存储设备来利用这一漏洞。成功利用该漏洞后，攻击者可以在安全等级较高的情况下在设备上执行任意命令。在发布之时，该漏洞影响了思科小企业SPA500系列IP电话7.6.2SR5及之前的固件版本。
CVE-2019-19230||CA Release Automation (Nolio) 6.6中的DataManagement组件存在一个不安全的反序列化漏洞，可允许远程攻击者执行任意代码。
CVE-2019-19231||CA Client Automation 14.0、14.1、14.2和14.3 Agent for Windows中存在不安全的文件访问漏洞，可允许本地攻击者获得升级的权限。
